1,1,110.25,0,0,0,1,300,1.3,1,15,0.01,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,75.717,637120,187170,61.912,1.425E-09,141.26,7.1252E-11,7.0629,63.96,8.5559,1.7623,-0.020492,0.00019989,0.011333,0.0043463,3.6696E-06,2.3419E-05,0.00056666,8.3299E-07,2.2914E-06,-0.020462,nan,0
1,2,110.25,10,0,0,1,300,1.3,1,15,0.01,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,74.1,637120,187170,61.912,1.425E-09,141.26,7.1252E-11,7.0629,63.96,8.5559,1.7623,1.0952,8.3937E-05,0.016627,0.0010027,1.0896E-06,4.119E-06,0.00013719,5.3669E-07,1.0139E-06,1.0952,nan,0
1,3,110.25,15,0,0,1,300,1.3,1,15,0.01,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,65.6,637120,187170,61.912,1.425E-09,141.26,7.1252E-11,7.0629,63.96,8.5559,1.7623,1.5366,4.4619E-05,0.024592,0.012637,8.4775E-07,3.6692E-06,0.00018196,8.5203E-07,9.4964E-07,1.5366,nan,0
1,4,110.25,17,0,0,1,300,1.3,1,15,0.01,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,69.917,637120,187170,61.912,1.425E-09,141.26,7.1252E-11,7.0629,63.96,8.5559,1.7623,1.6644,6.7668E-05,0.030239,0.020864,1.6705E-06,5.5651E-06,0.00017929,1.0954E-06,1.6296E-06,1.6645,nan,0
1,5,110.25,18,0,0,1,300,1.3,1,15,0.01,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,3767,1,36.05,637120,187170,61.912,1.425E-09,141.26,7.1252E-11,7.0629,63.96,8.5559,1.7623,1.7923,9.8809E-06,0.031146,0.017275,3.2631E-08,9.8851E-08,3.4191E-06,9.6029E-07,9.7717E-07,1.7923,nan,1
2,6,110.25,0,0,0,1,300,1.3,1,15,0.007,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,58.85,593380,176030,41.281,7.7089E-10,141.26,3.8545E-11,7.0629,65.078,9.0274,2.1348,0.045991,9.9057E-05,0.010639,-0.010174,3.2674E-07,3.4862E-06,6.0218E-05,9.0904E-07,9.3627E-07,0.046009,nan,0
2,7,110.25,10,0,0,1,300,1.3,1,15,0.007,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,65.483,593380,176030,41.281,7.7089E-10,141.26,3.8545E-11,7.0629,65.078,9.0274,2.1348,1.0998,3.1272E-05,0.014297,-7.042E-05,2.4E-07,2.8596E-07,0.00012498,9.4152E-07,9.8491E-07,1.0999,nan,0
2,8,110.25,15,0,0,1,300,1.3,1,15,0.007,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,56.883,593380,176030,41.281,7.7089E-10,141.26,3.8545E-11,7.0629,65.078,9.0274,2.1348,1.399,0.0008043,0.025043,0.030973,3.7861E-06,3.6407E-06,0.00011458,9.7569E-07,8.8621E-06,1.4,nan,0
2,9,110.25,17,0,0,1,300,1.3,1,15,0.007,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,58.5,593380,176030,41.281,7.7089E-10,141.26,3.8545E-11,7.0629,65.078,9.0274,2.1348,1.5944,0.00095604,0.027382,0.031599,8.3738E-06,7.9931E-06,0.00033498,7.4908E-07,2.2544E-05,1.5937,nan,0
2,10,110.25,18,0,0,1,300,1.3,1,15,0.007,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,51.267,593380,176030,41.281,7.7089E-10,141.26,3.8545E-11,7.0629,65.078,9.0274,2.1348,1.6322,1.8337E-05,0.033217,0.03167,4.2513E-08,4.5564E-08,2.0138E-05,7.815E-07,8.2285E-07,1.6322,nan,0
3,11,110.25,0,0,0,1,300,1.3,1,15,0.005,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,77.533,764020,226310,37.947,7.5115E-10,141.26,3.7558E-11,7.0629,66.386,9.0734,2.0693,-0.01131,4.9599E-05,0.010739,0.0022845,3.9607E-07,5.1852E-06,0.00021384,8.4531E-07,9.7E-07,-0.011229,nan,0
3,12,110.25,10,0,0,1,300,1.3,1,15,0.005,2,0,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,8000,8000,1,77.133,764020,226310,37.947,7.5115E-10,141.26,3.7558E-11,7.0629,66.386,9.0734,2.0693,0.98175,1.681E-05,0.017057,0.020799,1.3228E-07,1.2535E-07,4.6464E-05,7.7816E-07,9.7187E-07,0.98176,nan,0
