a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,d
1,240,110.25,15,0,0,1,300,1.3,3,15,0.001,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,53.3,486670,227270,6.9924,2.1665E-10,271.02,1.0833E-11,13.551,60.421,6.9498,1.7041,1.868,0.00052922,0.021972,0.073714,2.2039E-07,7.6271E-07,0.00019999,8.4271E-07,2.1735E-06,1.8677,,0,0
2,247,110.25,15,0,0,1,300,1.3,3,15,0.0035,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,4092,1,29.367,499800,250780,22.915,4.86E-10,273.95,2.43E-11,13.697,58.901,6.461,3.1044,1.7951,1.4344E-06,0.022101,0.08114,9.965E-10,7.7355E-10,4.7727E-09,9.6701E-07,9.9515E-07,1.7951,,1,11
3,254,110.25,15,0,0,1,300,1.3,3,15,0.005,2,1,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,9000,2846,1,26.4,502410,251860,26.921,1.1216E-09,277.72,5.6079E-11,13.886,46.171,4.8326,2.3366,1.7803,1.6147E-06,0.02332,0.08182,5.6613E-10,9.989E-10,2.18E-09,8.9244E-07,9.8178E-07,1.7803,,1,12
3,255,110.25,15,0,0,1,300,1.3,3,15,0.004,2,1,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,9000,4727,1,50.083,536510,269050,22.66,6.32E-10,277.88,3.16E-11,13.894,47.873,4.7872,2.3186,1.7873,8.2476E-06,0.023067,0.080159,7.1213E-10,9.9839E-10,4.8952E-09,9.5809E-07,8.6983E-07,1.7874,,1,13
2,248,110.25,15,0,0,1,300,1.3,3,15,0.003,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,1,111.92,538470,270250,18.3,4.375E-10,276.98,2.1875E-11,13.849,45.938,5.9672,3.063,1.7678,0.00027919,0.024017,0.07783,8.2706E-07,1.4209E-06,0.00022739,6.8151E-07,2.3252E-06,1.7679,,0,0
3,256,110.25,15,0,0,1,300,1.3,3,15,0.0035,2,1,0,0,0,0,1,1,0.7,10,0.1,5,0,0,0,0,0,0,9000,9000,1,157.38,585560,293660,24.989,4.085E-10,277.53,2.0425E-11,13.876,45.076,4.9889,2.8096,1.738,1.709E-05,0.026144,0.073877,7.6414E-09,3.5249E-08,6.9839E-06,9.0973E-07,8.8491E-07,1.738,,0,0
2,249,110.25,15,0,0,1,300,1.3,3,15,0.001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,1,198.22,1097800,507260,7.4645,3.76E-10,269.21,1.88E-11,13.46,63.915,5.8352,1.3923,1.8796,0.00075049,0.020922,0.074115,7.0407E-07,1.8215E-06,8.6932E-05,9.7039E-07,1.4567E-06,1.8797,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.8872,91849,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.8836,106530,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.8033,153460,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.7653,168080,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.7966,185380,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.8758,307350,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.7911,420930,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.8305,468090,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.7951,499800,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.9083,431640,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.8487,454160,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.7803,502410,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.7874,536510,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.7874,,0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.7951,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.7966,,-1.7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
